index_x,sex,cage,mouseid,Eating,Drinking,Climbing_the_net,Curling_up,Straightening_up,Bending,Grooming,Standing,Stillness,Walking,Travel_distance,Group_of_three_mice,Rest,Rest_count,Short_sleep,Short_sleep_count,Long_sleep,Long_sleep_count,Group_of_two_mice,testage3,dietary,TestAge,Sex,Dietary,index_y,median_area,median_c,median_k,median_len,q1_area,q1_c,q1_k,q1_len,q3_area,q3_c,q3_k,q3_len,mouse_uid
747,1,D17,mouse1,6617.55,179.55,39.75,12641.05,54010.1,1180.8,19.8,10303.5,393.55,1793.65,28.19,684.35,18406.0,100,10149.75,26,5671.4,7,22226.2,14,Control,14.0,1,Control,479.0,6972.0,80.6666666666667,86.3333333333333,337.333333333333,6272.33333333333,71.0,74.0,320.666666666667,7875.66666666667,94.6666666666667,98.3333333333333,360.0,female_D17
970,1,D04,mouse2,10210.35,512.45,9.8,10374.9,47589.65,1297.9,6.2,3483.75,366.55,651.4,12.85,506.4,16262.95,86,12348.8,31,10515.6,11,10952.7,19,Control,19.0,1,Control,649.0,8338.66666666667,85.0,99.3333333333333,370.666666666667,7550.0,74.6666666666667,85.6666666666667,352.0,9364.66666666667,97.6666666666667,112.666666666667,394.0,female_D04
1933,0,D13,mouse2,7882.8,56.45,236.5,13537.45,46655.4,6065.95,19.95,13210.05,1771.1,760.4,14.85,1660.25,20767.3,108,20278.3,49,14785.1,17,18813.35,12,Control,12.0,0,Control,409.0,9225.66666666667,97.3333333333333,94.6666666666667,391.333333333333,8335.0,82.0,80.3333333333333,371.333333333333,10263.0,114.666666666667,112.0,413.333333333333,male_D13
2251,0,D13,mouse2,11722.55,456.75,48.65,17687.45,50500.3,4899.7,14.0,2327.45,1607.95,812.55,14.13,1932.05,20421.75,105,12427.05,28,20566.45,20,24689.85,18,Control,18.0,0,Control,635.0,8664.0,89.6666666666667,95.6666666666667,378.0,7658.66666666667,78.3333333333333,80.3333333333333,353.333333333333,9906.33333333333,104.0,114.0,407.333333333333,male_D13
2065,0,D13,mouse2,6685.4,36.55,0.9,14108.0,50187.8,3716.9,17.95,5834.0,1169.45,713.25,13.89,1919.45,18553.4,98,14769.7,37,13694.35,13,24787.25,14,Control,14.0,0,Control,498.0,8443.66666666667,95.6666666666667,88.0,374.0,7366.33333333333,80.6666666666667,76.6666666666667,346.666666666667,9757.0,111.333333333333,103.666666666667,402.666666666667,male_D13
1740,0,D17,mouse1,7383.95,376.5,51.75,18315.4,44109.1,4789.25,23.9,21607.2,1184.35,1000.95,18.37,1838.65,24068.1,133,18379.8,44,14422.4,14,27621.95,9,Control,9.0,0,Control,276.0,8232.66666666667,95.0,87.6666666666667,368.666666666667,7305.33333333333,81.0,75.6666666666667,346.666666666667,9428.66666666667,109.0,102.666666666667,394.666666666667,male_D17
1358,0,D07,mouse3,232.8,13.5,0.2,7893.7,32641.9,1761.6,2.3,27853.2,1287.3,1181.2,16.03,645.2,12111.1,65,11120.0,28,4048.7,4,26893.0,3,Control,3.0,0,Control,30.0,5347.0,72.0,75.6666666666667,296.0,4734.0,62.3333333333333,64.6666666666667,278.0,6344.33333333333,82.0,86.6666666666667,325.333333333333,male_D07
1755,0,D22,mouse1,4582.5,104.7,56.75,16206.6,43926.95,3020.65,12.4,478.45,1649.5,750.15,12.22,3110.3,14149.0,80,9171.45,23,13913.3,13,26547.6,9,Control,9.0,0,Control,281.0,8057.66666666667,84.0,97.0,364.0,7229.0,73.6666666666667,83.3333333333333,344.666666666667,9006.66666666667,96.3333333333333,110.666666666667,386.666666666667,male_D22
1712,0,D07,mouse3,4255.35,136.75,19.95,10598.05,39476.5,6877.35,268.0,11365.65,1430.55,635.35,10.67,521.5,16522.75,84,9705.55,25,17946.8,12,18286.55,9,Control,9.0,0,Control,266.0,8582.66666666667,96.3333333333333,88.6666666666667,376.0,7659.66666666667,82.0,77.6666666666667,354.666666666667,9649.33333333333,112.666666666667,103.333333333333,400.666666666667,male_D07
371,1,D04,mouse3,5936.8,107.0,16.8,18241.75,43197.8,1246.55,9.45,5010.75,270.15,833.3,12.67,1369.8,14374.9,79,11711.95,27,12788.4,15,18643.7,9,Control,9.0,1,Control,240.0,6523.33333333333,80.6666666666667,80.0,326.666666666667,5557.0,70.3333333333333,69.6666666666667,301.333333333333,7858.33333333333,95.6666666666667,91.0,362.0,female_D04
